#http://astro.uni-tuebingen.de/~rauch/TMAP/TMAP_solar_abundances.html
#TMAP uses the following values as solar abundances.
#They are taken from Asplund et al. 2009, ARAA 47, 481. 
#and partly replaced by values from 
#F: Maiorca et al. 2014, ApJ 788, 149 
#Na to Ca: Scott et al. 2015, A&A 573, A25 
#Sc to Ni: Scott et al. 2015, A&A 573, A26 
#Ca to Th: Grevesse et al. 2015, A&A 573, A27 

Atom	A	ATW	        logn	n(X)/n(H)	n(X)/n(He)	mass_fraction
H	    1	1.0079	    12.00	1.000E+00	1.175E+01	7.375E-01
He	    2	4.0026	    10.93	8.511E-02	1.000E+00	2.493E-01
Li	    3	6.9410	    1.05	1.122E-11	1.318E-10	5.698E-11
Be	    4	9.0122	    1.38	2.399E-11	2.818E-10	1.582E-10
B	    5	10.8110	    2.70	5.012E-10	5.888E-09	3.964E-09
C	    6	12.0107	    8.43	2.692E-04	3.162E-03	2.365E-03
N	    7	14.0067	    7.83	6.761E-05	7.943E-04	6.929E-04
O	    8	15.9994	    8.69	4.898E-04	5.754E-03	5.733E-03
F	    9	18.9984	    4.40	2.512E-08	2.951E-07	3.492E-07
Ne	    10	20.1797	    7.93	8.511E-05	1.000E-03	1.257E-03
Na	    11	22.9898	    6.21	1.622E-06	1.905E-05	2.728E-05
Mg	    12	24.3050	    7.59	3.890E-05	4.571E-04	6.918E-04
Al	    13	26.9815	    6.43	2.692E-06	3.162E-05	5.314E-05
Si	    14	28.0855	    7.51	3.236E-05	3.802E-04	6.650E-04
P	    15	30.9738	    5.41	2.570E-07	3.020E-06	5.825E-06
S	    16	32.0650	    7.12	1.318E-05	1.549E-04	3.093E-04
Cl	    17	35.4530	    5.50	3.162E-07	3.715E-06	8.203E-06
Ar	    18	39.9480	    6.40	2.512E-06	2.951E-05	7.342E-05
K	    19	39.0983	    5.04	1.096E-07	1.288E-06	3.137E-06
Ca	    20	40.0780	    6.32	2.089E-06	2.455E-05	6.127E-05
Sc	    21	44.9559	    3.16	1.445E-09	1.698E-08	4.754E-08
Ti	    22	47.8670	    4.93	8.511E-08	1.000E-06	2.981E-06
V	    23	50.9415	    3.89	7.762E-09	9.120E-08	2.893E-07
Cr	    24	51.9961	    5.62	4.169E-07	4.898E-06	1.586E-05
Mn	    25	54.9380	    5.42	2.630E-07	3.090E-06	1.057E-05
Fe	    26	55.8450	    7.47	2.951E-05	3.467E-04	1.206E-03
Co	    27	58.9332	    4.93	8.511E-08	1.000E-06	3.670E-06
Ni	    28	58.6934	    6.20	1.585E-06	1.862E-05	6.806E-05
Cu	    29	63.5460	    4.18	1.514E-08	1.778E-07	7.037E-07
Zn	    30	65.4090	    4.56	3.631E-08	4.266E-07	1.738E-06
Ga	    31	69.7230	    3.02	1.047E-09	1.230E-08	5.342E-08
Ge	    32	72.6400	    3.63	4.266E-09	5.012E-08	2.267E-07
As	    33	74.9216	    2.30	1.995E-10	2.344E-09	1.094E-08
Se	    34	78.9600	    3.34	2.188E-09	2.570E-08	1.264E-07
Br	    35	79.9040	    2.54	3.467E-10	4.074E-09	2.027E-08
Kr	    36	83.7960	    3.25	1.778E-09	2.089E-08	1.090E-07
Rb	    37	85.4678	    2.47	2.951E-10	3.467E-09	1.846E-08
Sr	    38	87.6200	    2.83	6.761E-10	7.943E-09	4.334E-08
Y	    39	88.9059	    2.21	1.622E-10	1.905E-09	1.055E-08
Zr	    40	91.2240	    2.59	3.890E-10	4.571E-09	2.597E-08
Nb	    41	92.9064	    1.47	2.951E-11	3.467E-10	2.006E-09
Mo	    42	95.9400	    1.88	7.586E-11	8.913E-10	5.325E-09
Ru	    44	101.0700	1.75	5.623E-11	6.607E-10	4.159E-09
Rh	    45	102.9055	0.89	7.762E-12	9.120E-11	5.845E-10
Pd	    46	106.4200	1.55	3.548E-11	4.169E-10	2.763E-09
Ag	    47	107.8682	0.96	9.120E-12	1.072E-10	7.198E-10
Cd	    48	112.4110	1.77	5.888E-11	6.918E-10	4.843E-09
In	    49	114.8180	0.80	6.310E-12	7.413E-11	5.301E-10
Sn	    50	118.7100	2.02	1.047E-10	1.230E-09	9.095E-09
Sb	    51	121.7600	1.01	1.023E-11	1.202E-10	9.116E-10
Te	    52	127.6000	2.18	1.514E-10	1.778E-09	1.413E-08
I	    53	126.9045	1.55	3.548E-11	4.169E-10	3.295E-09
Xe	    54	131.2930	2.24	1.738E-10	2.042E-09	1.669E-08
Cs	    55	132.9055	1.08	1.202E-11	1.413E-10	1.169E-09
Ba	    56	137.3270	2.25	1.778E-10	2.089E-09	1.787E-08
La	    57	138.9055	1.11	1.288E-11	1.514E-10	1.309E-09
Ce	    58	140.1160	1.58	3.802E-11	4.467E-10	3.898E-09
Pr	    59	140.9077	0.72	5.248E-12	6.166E-11	5.411E-10
Nd	    60	144.2400	1.42	2.630E-11	3.090E-10	2.776E-09
Sm	    62	150.3600	0.95	8.913E-12	1.047E-10	9.805E-10
Eu	    63	151.9640	0.52	3.311E-12	3.890E-11	3.682E-10
Gd	    64	157.2500	1.08	1.202E-11	1.413E-10	1.383E-09
Tb	    65	158.9253	0.31	2.042E-12	2.399E-11	2.374E-10
Dy	    66	162.5000	1.10	1.259E-11	1.479E-10	1.497E-09
Ho	    67	164.9303	0.48	3.020E-12	3.548E-11	3.644E-10
Er	    68	167.2590	0.93	8.511E-12	1.000E-10	1.042E-09
Tm	    69	168.9342	0.11	1.288E-12	1.514E-11	1.592E-10
Yb	    70	173.0400	0.85	7.079E-12	8.318E-11	8.963E-10
Lu	    71	174.9670	0.10	1.259E-12	1.479E-11	1.612E-10
Hf	    72	178.4900	0.85	7.079E-12	8.318E-11	9.245E-10
Ta	    73	180.9479	-0.12	7.586E-13	8.913E-12	1.004E-10
W	    74	183.8400	0.83	6.761E-12	7.943E-11	9.094E-10
Re	    75	186.2070	0.26	1.820E-12	2.138E-11	2.479E-10
Os	    76	190.2300	1.40	2.512E-11	2.951E-10	3.496E-09
Ir	    77	192.2170	1.42	2.630E-11	3.090E-10	3.699E-09
Pt	    78	195.0780	1.62	4.169E-11	4.898E-10	5.950E-09
Au	    79	196.9666	0.91	8.128E-12	9.550E-11	1.171E-09
Hg	    80	200.5900	1.17	1.479E-11	1.738E-10	2.171E-09
Tl	    81	204.3833	0.90	7.943E-12	9.333E-11	1.188E-09
Pb	    82	207.2000	1.92	8.318E-11	9.772E-10	1.261E-08
Bi	    83	208.9804	0.65	4.467E-12	5.248E-11	6.830E-10
Th	    90	232.0381	0.03	1.072E-12	1.259E-11	1.819E-10
U	    92	238.0298    -0.54	2.884E-13	3.388E-12	5.023E-11
